D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY_WEAP1,24x Blaster Carbine: 3 / 1.25s / 220m
D_TEXT_TOOLTIP_DRAGON_TROOPER_SQUAD,Squad: 9x Dragon Trooper
D_TEXT_TOOLTIP_DRAGON_TROOPER_SQUAD_WEAP1,6x Blaster Carbine: 3 / 1.25s / 220m
D_TEXT_UNIT_DRAGON_TROOPER,Dragon Trooper
D_TEXT_UNIT_DRAGON_TROOPER_FLAMER,Dragon Trooper Firebreather
D_TEXT_UNIT_DRAGON_TROOPER_LIEUTENANT,Dragon Trooper Heavy Gunner
D_TEXT_UNIT_DRAGON_TROOPER_PLATOON,Dragon Trooper Brood
D_TEXT_UNIT_DRAGON_TROOPER_REPEATER,Dragon Trooper Light Gunner
D_TEXT_UNIT_DRAGON_TROOPER_SQUAD,Dragon Trooper Pack
STAT_TRADESTATION_COUNT_DASTA,Trade Ports: %s / 30
TEXT_ABILITY_DEPLOY_SHADOWTROOP,Deploy Shadow Stormtroopers
TEXT_ABILITY_DEPLOY_SHADOWTROOP_DESCRIPTION,Deploy a squad of Shadow Stormtroopers from the transport.
TEXT_ARMORED_SHIELDED_INTERCEPTOR_ELITE_SQUADRON,Elite Heavy TIE Interceptor Squadron
TEXT_ARMORED_SHIELDED_INTERCEPTOR_ELITE_SQUADRON_HALF,Elite Heavy TIE Interceptor Squadron 1/2
TEXT_ARMORED_SHIELDED_INTERCEPTOR_ELITE_SQUADRON2,Elite Heavy TIE Interceptor Squadron x2
TEXT_ARMORED_SHIELDED_INTERCEPTOR_ION_SQUADRON,Ion Refit Heavy TIE Interceptor Squadron
TEXT_ARMORED_SHIELDED_INTERCEPTOR_ION_SQUADRON_HALF,Ion Refit Heavy TIE Interceptor Squadron 1/2
TEXT_ARMORED_SHIELDED_INTERCEPTOR_ION_SQUADRON2,Ion Refit Heavy TIE Interceptor Squadron x2
TEXT_ARMORED_SHIELDED_INTERCEPTOR_MISSILE_SQUADRON,Missile Heavy TIE Interceptor Squadron
TEXT_ARMORED_SHIELDED_INTERCEPTOR_MISSILE_SQUADRON_HALF,Missile Heavy TIE Interceptor Squadron 1/2
TEXT_ARMORED_SHIELDED_INTERCEPTOR_MISSILE_SQUADRON2,Missile Heavy TIE Interceptor Squadron x2
TEXT_ARMORED_SHIELDED_INTERCEPTOR_UPGUNNED_SQUADRON,Upgunned Heavy TIE Interceptor Squadron
TEXT_ARMORED_SHIELDED_INTERCEPTOR_UPGUNNED_SQUADRON_HALF,Upgunned Heavy TIE Interceptor Squadron 1/2
TEXT_ARMORED_SHIELDED_INTERCEPTOR_UPGUNNED_SQUADRON2,Upgunned Heavy TIE Interceptor Squadron x2
TEXT_ATXT_SQUAD,AT-XT Walker Company
TEXT_BELBULLAB22_SQUADRON,Belbullab-22 Squadron
TEXT_BELBULLAB22_SQUADRON_HALF,Belbullab-22 Squadron 1/2
TEXT_BELBULLAB22_SQUADRON2,Belbullab-22 Squadron x2
TEXT_BELBULLAB23_SQUADRON,Belbullab-23 Squadron
TEXT_BELBULLAB24_SQUADRON,Belbullab-24 Squadron
TEXT_BELBULLAB24_SQUADRON_HALF,Belbullab-24 Squadron 1/2
TEXT_BELBULLAB24_SQUADRON2,Belbullab-24 Squadron x2
TEXT_BTLA2_Y_WING_SQUADRON,BTL-A2 Y-wing Squadron
TEXT_BTLA2_Y_WING_SQUADRON_HALF,BTL-A2 Y-wing Squadron 1/2
TEXT_BTLA2_Y_WING_SQUADRON2,BTL-A2 Y-wing Squadron x2
TEXT_COMPANY_TIERFON_CAPITAL,Tierfon Sector Fleet HQ
TEXT_COMPANY_TIERFON_DESCRIPTION,The main base of the Tierfon Sector Fleet, with extensive command centers and dockyard facilities.
TEXT_COMPANY_UBIQTORATE_BASE,Ubiqtorate Base
TEXT_COMPANY_UBIQTORATE_BASE_DESCRIPTION,One of multiple large bases of the Imperial Ubiqtorate, an organization overseeing all aspects of various Imperial Intelligence Agencies. Provides intel on nearby planets in a large radius.
TEXT_CONQUEST_PROTEUS_GRUNGER,Josef Grunger: Word has reached me of the Emperor’s death, and I do not intend to pass up such an opportunity. This region of space is ripe with lesser men to join my armada. They will not be difficult to "convince".
TEXT_CONQUEST_PROTEUS_PRAJI,Nahdonnis Praji: It was the right decision to retire to Kaikielius instead of following the Emperor to his final demise. Now we must build on our work, Commander, and secure our holdings against all the vultures descending.
TEXT_CONQUEST_PROTEUS_THORN,Daymon Thorn: The Emperor is dead, and I shall pick up his crown and place it upon my own head.  With the power of the Korrendum crystals, we shall build a weapon that will surpass even the Death Stars, and with it, we shall overthrow and scatter all that oppose our march. The men who laugh at the Empire's distress, and inwardly rejoice at the triumph of our enemies, will soon be confounded and trembling, for the War Dog of the Empire is on the march. There still remains much to do!
TEXT_COYOTE_BOMBER_SQUADRON,Coyote Advanced Droid Bomber Squadron
TEXT_COYOTE_BOMBER_SQUADRON_HALF,Coyote Advanced Droid Bomber Squadron 1/2
TEXT_COYOTE_BOMBER_SQUADRON2,Coyote Advanced Droid Bomber Squadron x2
TEXT_DISPLAY_TIERFON_CAPITAL,Construction Station: Tierfon Sector Fleet HQ
TEXT_ECONOMY_BISCUIT_BARON,Biscuit Baron - Income
TEXT_ENCYCLOPEDIA_BISCUIT_BARON,A popular casual dining franchise with a logo bearing the likeness of the late Baron Orman Tagge. One of the largest restaurant chains across the galaxy, Biscuit Baron is a symbol of TaggeCo's omnipresence and soft power and provides the House of Tagge with income and goodwill from the local population. Any assertions that their products can turn into ravenous bioweapons are vigorously disputed by TaggeCo's legal team.
TEXT_ENCYCLOPEDIA_CLASS_APPRENTICE,Apprentice
TEXT_ENCYCLOPEDIA_CLASS_ARMS_DEALER,Arms Dealer
TEXT_ENCYCLOPEDIA_CLASS_BARONESS,Baroness
TEXT_ENCYCLOPEDIA_CLASS_PRIME_MINISTER,Prime Minister 
TEXT_ENCYCLOPEDIA_CLASS_SECOND_LIEUTENANT,Second Lieutenant
TEXT_ENCYCLOPEDIA_CLASS_TACTICAL_DROID,Tactical Droid
TEXT_ETA2_ASSAULT_SQUADRON,Assault Eta-2 Actis Squadron
TEXT_ETA2_ASSAULT_SQUADRON_HALF,Assault Eta-2 Actis Squadron 1/2
TEXT_ETA2_ASSAULT_SQUADRON2,Assault Eta-2 Actis Squadron x2
TEXT_ETA2_DEFENSIVE_SQUADRON,Heavy Defense Eta-2 Actis Squadron
TEXT_ETA2_DEFENSIVE_SQUADRON_HALF,Heavy Defense Eta-2 Actis Squadron 1/2
TEXT_ETA2_DEFENSIVE_SQUADRON2,Heavy Defense Eta-2 Actis Squadron x2
TEXT_ETA2_MANEUVER_SQUADRON,High Maneuver Eta-2 Actis Squadron
TEXT_ETA2_MANEUVER_SQUADRON_HALF,High Maneuver Eta-2 Actis Squadron 1/2
TEXT_ETA2_MANEUVER_SQUADRON2,High Maneuver Eta-2 Actis Squadron x2
TEXT_ETA2_MISSILE_SQUADRON,Missile Eta-2 Actis Squadron
TEXT_ETA2_MISSILE_SQUADRON_HALF,Missile Eta-2 Actis Squadron 1/2
TEXT_ETA2_MISSILE_SQUADRON2,Missile Eta-2 Actis Squadron x2
TEXT_ETA2_SQUADRON,Eta-2 Actis Squadron
